#burst	Time	Periodo Hlp(ms)	Periodo Hpd(ms)	Intervalo HlpFSlp(ms)	Intervalo HlpLSlp(ms)	Intervalo HpdFSpd(ms)	Intervalo HpdLSpd(ms)	Intervalo FSlpHlp(ms)	Intervalo LSlpHlp(ms)	Intervalo FSpdHpd(ms)	Intervalo LSpdHpd(ms)	Intervalo HlpHpd(ms)	Intervalo HpdHlp(ms)	Intervalo FSlpHpd(ms)	Intervalo LSlpHpd(ms)	Intervalo FSpdHlp(ms)	Intervalo LSpdHlp(ms)	Intervalo HlpFSpd(ms)	Intervalo HlpLSpd(ms)	Intervalo HpdFSlp(ms)	Intervalo HpdLSlp(ms)	t1LP	fst2fstLP	LPPD1spkperiod
12	598685.6	708.6	722.3000000000001	126.7	282.2	381.90000000000003	495.70000000000005	581.9	426.40000000000003	331.70000000000005	213.3	220.3	488.3	815.9000000000001	660.4000000000001	820.0	701.6	602.2	716.0	593.5	753.1	598811.2089	687.10001	475.300007
13	599394.2000000001	734.7	679.7	105.2	264.8	399.40000000000003	518.9	629.5	469.90000000000003	340.40000000000003	226.60000000000002	234.0	500.70000000000005	808.5	648.9000000000001	841.1	727.3000000000001	633.4000000000001	752.9000000000001	638.4000000000001	829.0	599498.3089	767.200012	528.000008
14	600128.9	969.6	931.4000000000001	137.70000000000002	328.3	668.0	790.8000000000001	831.9000000000001	641.3000000000001	280.3	160.8	179.0	790.6	972.7	782.1	1070.9	951.4000000000001	847.0	969.8000000000001	921.3000000000001	1099.0	600265.5089	962.600014	709.20001
15	601098.5	1062.3	1103.4	130.70000000000002	308.40000000000003	825.0	941.9000000000001	931.6	753.9000000000001	263.40000000000003	140.6	140.8	921.5	1113.5	935.8000000000001	1184.9	1062.1000000000001	965.8000000000001	1082.7	1089.8	1248.8000000000002	601228.109	1100.000016	834.900012
16	602160.8	1077.1000000000001	1115.6000000000001	168.3	327.3	776.4000000000001	902.2	908.8000000000001	749.8000000000001	278.40000000000003	161.5	181.9	895.2	1129.2	970.2	1173.6000000000001	1056.7	958.3000000000001	1084.1000000000001	1035.9	1194.6000000000001	602328.109	1049.300016	789.700012
17	603237.9	1144.0	1121.5	140.70000000000002	299.40000000000003	793.5	914.5	1003.3000000000001	844.6	339.20000000000005	213.4	220.4	923.6	1201.2	1042.5	1262.8000000000002	1137.0	1013.9000000000001	1134.9	1050.5	1237.1000000000001	603377.409	1130.300017	873.100013
18	604381.9	1000.8000000000001	982.3000000000001	126.9	313.5	687.3000000000001	809.0	873.9000000000001	687.3000000000001	328.0	207.0	197.9	802.9000000000001	1053.3	866.7	1130.9	1009.9000000000001	885.2	1006.9000000000001	940.7	1120.8	604507.709	1011.700015	758.100011
19	605382.7000000001	937.4000000000001	939.6	137.8	317.90000000000003	646.7	765.0	799.6	619.5	295.0	173.3	179.4	758.0	981.2	801.1	1053.0	931.3000000000001	826.1	944.4000000000001	874.1	1026.6000000000001	605519.409	915.700014	688.10001
20	606320.1	749.7	728.5	116.10000000000001	268.6	455.0	574.6	633.6	481.1	292.90000000000003	174.60000000000002	181.60000000000002	568.1	794.0	641.5	861.0	742.7	636.6	756.2	670.0	843.1	606435.109	735.400011	520.400007
21	607069.8	845.3000000000001	867.1	101.9	275.0	575.4	691.9000000000001	743.4000000000001	570.3000000000001	273.5	153.9	160.4	684.9000000000001	925.6	752.5	958.4000000000001	838.8000000000001	735.8000000000001	852.3000000000001	823.0	974.1	607170.509	881.600013	633.800009
22	607915.1	1059.1000000000001	1061.0	138.1	289.2	760.9000000000001	883.8000000000001	921.0	769.9000000000001	291.7	175.20000000000002	182.20000000000002	876.9000000000001	1105.1000000000001	954.0	1168.6000000000001	1052.1000000000001	943.1	1066.0	1013.0	1177.9	608052.1091	1057.100015	804.800012
23	608974.2000000001	1075.7	1040.5	136.1	301.0	778.4000000000001	897.7	939.6	774.7	300.1	177.20000000000002	184.10000000000002	891.6	1088.5	923.6	1191.7	1068.8	962.5	1081.8	1030.5	1225.1000000000001	609109.2091	1078.500017	826.200013
24	610049.9	1090.0	1166.5	138.9	333.5	831.0	949.0	951.1	756.5	262.1	142.8	148.9	941.1	1176.5	981.9000000000001	1203.2	1083.9	979.9000000000001	1097.9	1083.0	1243.1000000000001	610187.7091	1093.000016	840.900012
25	611139.9	919.2	860.6	141.9	302.0	582.4	702.7	777.3000000000001	617.2	335.5	217.5	225.4	693.8000000000001	944.1	784.0	1029.3	911.3000000000001	807.8000000000001	928.1	819.6	994.6	611280.7091	903.200013	665.80001
26	612059.1	914.2	934.6	125.80000000000001	300.8	634.2	753.0	788.4000000000001	613.4	278.2	157.9	166.8	747.4000000000001	975.6	800.6	1025.6000000000001	905.3000000000001	801.0	919.8000000000001	868.9000000000001	1040.9	612183.9091	909.800014	675.00001
27	612973.3	758.0	760.6	121.5	293.5	462.8	580.8000000000001	636.5	464.5	300.40000000000003	181.60000000000002	187.20000000000002	570.8000000000001	826.3000000000001	654.3000000000001	871.2	752.4000000000001	650.0	768.0	674.1	847.5	613093.7091	739.800011	528.300008
28	613731.3	682.7	671.8000000000001	103.30000000000001	276.7	386.1	503.40000000000003	579.4	406.0	297.8	179.8	189.8	492.90000000000003	758.3000000000001	584.9	790.7	672.7	575.9	693.2	593.2	770.3000000000001	613833.5091	679.60001	472.400007
29	614414.0	732.9000000000001	763.6	100.30000000000001	277.40000000000003	439.0	554.6	632.6	455.5	285.7	168.4	178.9	554.0	842.2	665.1	839.7	722.4000000000001	617.9000000000001	733.5	663.9000000000001	827.9000000000001	614513.1092	742.600011	517.600008
30	615146.9	831.9000000000001	812.0	109.9	273.90000000000003	506.40000000000003	629.9000000000001	722.0	558.0	324.6	209.0	209.60000000000002	622.3000000000001	911.7	747.7	946.9000000000001	831.3000000000001	716.0	839.5	735.3000000000001	928.0	615255.7092	835.000012	605.900009
31	615978.8	1014.8000000000001	972.8000000000001	113.0	305.7	717.4000000000001	832.1	901.8000000000001	709.1	305.6	182.10000000000002	189.70000000000002	825.1	1049.5	856.8000000000001	1130.7	1007.2	907.1	1021.8000000000001	962.5	1120.1000000000001	616090.7092	1039.200016	793.900012
